Date,Tmax,Tmin,Tavg,Prcp,Wspd,Wdir,Estacion,Provincia
2024-04-17,30.3,23.2,26.9,0.0,10.0,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-04-18,32.0,23.3,27.2,0.0,10.4,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-04-19,31.0,23.4,27.6,0.0,9.6,OESTE,La Cabaña,Bocas del Toro
2024-04-20,31.0,24.7,27.1,0.7,9.1,OESTE-SUROESTE,La Cabaña,Bocas del Toro
2024-04-21,30.0,24.0,26.9,0.3,8.1,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-04-22,30.0,24.0,26.9,2.4,5.7,ESTE-NORESTE,La Cabaña,Bocas del Toro
2024-04-23,31.0,24.6,27.6,1.7,11.1,NOROESTE,La Cabaña,Bocas del Toro
2024-04-24,30.4,24.3,26.5,16.8,12.5,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-04-25,29.0,23.8,25.8,9.0,15.5,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-04-26,29.0,24.4,25.9,30.4,12.6,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-04-27,29.5,23.7,26.0,10.3,10.3,OESTE,La Cabaña,Bocas del Toro
2024-04-28,31.0,24.6,26.9,1.2,8.7,OESTE,La Cabaña,Bocas del Toro
2024-04-29,30.3,24.2,26.3,2.2,8.1,OESTE-SUROESTE,La Cabaña,Bocas del Toro
2024-04-30,31.0,24.6,27.4,0.8,8.7,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-05-01,31.0,24.9,27.3,0.9,8.6,OESTE-SUROESTE,La Cabaña,Bocas del Toro
2024-05-02,30.0,25.1,27.9,1.2,7.4,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-05-03,31.0,25.0,28.0,0.0,8.0,NOROESTE,La Cabaña,Bocas del Toro
2024-05-04,31.0,25.0,28.0,0.4,8.0,SUR-SUROESTE,La Cabaña,Bocas del Toro
2024-05-05,31.0,25.0,27.8,1.3,8.2,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-05-06,32.0,25.1,28.6,0.0,9.8,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-05-07,31.0,25.1,27.4,0.6,7.8,OESTE,La Cabaña,Bocas del Toro
2024-05-08,30.0,25.3,26.6,7.3,8.6,OESTE,La Cabaña,Bocas del Toro
2024-05-09,32.0,25.4,27.8,2.9,7.5,OESTE,La Cabaña,Bocas del Toro
2024-05-10,31.1,25.8,28.1,2.9,11.1,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-05-11,31.1,24.8,27.9,8.3,9.5,NOROESTE,La Cabaña,Bocas del Toro
2024-05-12,31.0,25.7,27.8,2.5,8.0,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-05-13,29.5,25.2,27.2,10.1,11.1,OESTE,La Cabaña,Bocas del Toro
2024-05-14,30.0,24.5,26.5,7.4,11.4,OESTE,La Cabaña,Bocas del Toro
2024-05-15,32.0,25.5,27.7,3.9,9.7,OESTE,La Cabaña,Bocas del Toro
2024-05-16,31.0,25.7,27.7,1.6,7.8,OESTE-SUROESTE,La Cabaña,Bocas del Toro
2024-05-17,32.0,25.5,28.0,3.7,7.6,OESTE,La Cabaña,Bocas del Toro
2024-05-18,32.0,25.1,28.2,7.1,8.7,OESTE-SUROESTE,La Cabaña,Bocas del Toro
2024-05-19,30.7,25.2,26.9,6.2,11.9,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-05-20,30.4,24.6,27.0,10.8,12.1,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-05-21,29.3,25.3,27.0,7.3,12.8,OESTE,La Cabaña,Bocas del Toro
2024-05-22,32.0,25.7,27.5,16.6,10.6,OESTE-SUROESTE,La Cabaña,Bocas del Toro
2024-05-23,34.0,25.0,28.3,0.7,8.0,OESTE-SUROESTE,La Cabaña,Bocas del Toro
2024-05-24,32.0,25.8,28.3,1.7,7.0,OESTE,La Cabaña,Bocas del Toro
2024-05-25,32.0,25.7,28.2,4.2,7.0,OESTE-SUROESTE,La Cabaña,Bocas del Toro
2024-05-26,32.0,25.3,27.8,7.2,8.8,OESTE,La Cabaña,Bocas del Toro
2024-05-27,31.0,24.7,27.6,4.0,9.0,SUROESTE,La Cabaña,Bocas del Toro
2024-05-28,29.5,25.0,26.8,12.6,15.6,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-05-29,31.0,25.0,27.2,11.7,15.2,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-05-30,30.0,24.9,26.8,10.5,15.1,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-05-31,30.0,24.7,27.1,6.2,12.6,OESTE,La Cabaña,Bocas del Toro
2024-06-01,31.0,25.6,27.7,5.0,13.4,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-06-02,31.0,25.2,27.9,3.1,15.0,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-06-03,31.3,25.0,27.2,18.6,16.0,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-06-04,32.0,25.0,27.6,14.8,10.5,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-06-05,31.0,25.7,27.3,5.6,6.6,SUROESTE,La Cabaña,Bocas del Toro
2024-06-06,31.0,25.5,27.6,3.5,7.1,OESTE-SUROESTE,La Cabaña,Bocas del Toro
2024-06-07,30.0,25.5,27.4,0.7,9.7,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-06-08,31.0,25.5,28.0,4.0,9.3,OESTE,La Cabaña,Bocas del Toro
2024-06-09,30.8,25.5,27.7,12.2,7.4,OESTE-SUROESTE,La Cabaña,Bocas del Toro
2024-06-10,31.0,25.8,27.8,4.2,9.3,SUR-SUROESTE,La Cabaña,Bocas del Toro
2024-06-11,31.0,24.8,27.9,0.1,6.4,NOROESTE,La Cabaña,Bocas del Toro
2024-06-12,31.0,26.0,27.6,4.5,13.1,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-06-13,31.0,25.5,27.6,2.7,8.0,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-06-14,29.0,24.1,26.1,26.4,13.2,OESTE,La Cabaña,Bocas del Toro
2024-06-15,30.0,24.1,26.1,29.2,8.3,SUR,La Cabaña,Bocas del Toro
2024-06-16,29.1,24.6,27.0,0.2,9.3,SURESTE,La Cabaña,Bocas del Toro
2024-06-17,31.0,25.1,27.3,2.5,6.8,OESTE,La Cabaña,Bocas del Toro
2024-06-18,30.0,25.7,27.6,6.9,9.6,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-06-19,28.0,25.0,26.2,4.8,9.2,OESTE,La Cabaña,Bocas del Toro
2024-06-20,28.0,24.7,26.1,14.9,6.2,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-06-21,31.0,24.8,27.0,3.6,6.4,OESTE,La Cabaña,Bocas del Toro
2024-06-22,29.1,24.5,26.6,14.3,10.1,OESTE,La Cabaña,Bocas del Toro
2024-06-23,30.0,24.0,27.1,2.4,9.5,OESTE,La Cabaña,Bocas del Toro
2024-06-24,31.0,24.3,27.4,5.0,8.2,OESTE,La Cabaña,Bocas del Toro
2024-06-25,30.0,25.0,26.8,8.7,7.2,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-06-26,31.0,24.4,26.6,13.0,7.6,OESTE,La Cabaña,Bocas del Toro
2024-06-27,30.0,25.0,27.0,2.5,7.7,OESTE,La Cabaña,Bocas del Toro
2024-06-28,30.0,25.0,27.2,1.2,8.0,SUR-SUROESTE,La Cabaña,Bocas del Toro
2024-06-29,32.0,24.3,27.2,12.2,14.8,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-06-30,29.3,24.0,26.5,6.6,13.2,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-07-01,29.2,24.2,26.8,7.0,13.9,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-07-02,31.0,25.0,26.9,11.1,11.4,NOROESTE,La Cabaña,Bocas del Toro
2024-07-03,30.0,24.7,26.9,6.7,11.3,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-07-04,31.0,24.8,26.7,7.0,10.6,OESTE,La Cabaña,Bocas del Toro
2024-07-05,30.0,24.9,26.6,6.2,6.3,OESTE,La Cabaña,Bocas del Toro
2024-07-06,28.0,24.3,26.4,5.7,8.0,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-07-07,29.5,25.0,26.9,1.2,7.3,OESTE,La Cabaña,Bocas del Toro
2024-07-08,30.0,24.5,27.0,3.5,10.7,OESTE,La Cabaña,Bocas del Toro
2024-07-09,30.0,24.6,26.6,4.8,11.9,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-07-10,29.7,24.0,26.3,18.5,12.8,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-07-11,29.0,23.8,25.7,17.1,13.3,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-07-12,32.0,24.1,26.6,8.2,10.5,OESTE,La Cabaña,Bocas del Toro
2024-07-13,29.0,23.9,26.1,19.8,16.6,OESTE-NOROESTE,La Cabaña,Bocas del Toro
