Date,Tmax,Tmin,Tavg,Prcp,Wspd,Wdir,Estacion,Provincia
2024-05-10,34.0,26.0,28.6,5.5,20.9,Noreste,Tocumen,Panamá
2024-05-11,32.0,25.0,28.5,13.1,35.3,Sureste,Tocumen,Panamá
2024-05-12,32.0,25.0,28.4,13.5,27.0,Este,Tocumen,Panamá
2024-05-13,32.0,25.0,28.5,3.0,24.1,Norte,Tocumen,Panamá
2024-05-14,32.0,23.0,26.8,12.3,27.0,Norte,Tocumen,Panamá
2024-05-15,29.0,23.0,26.5,6.8,23.8,Este,Tocumen,Panamá
2024-05-16,30.0,25.0,27.5,4.2,22.0,Noreste,Tocumen,Panamá
2024-05-17,31.0,24.0,27.7,1.7,25.9,Este,Tocumen,Panamá
2024-05-18,31.0,25.0,27.7,6.7,22.3,Noroeste,Tocumen,Panamá
2024-05-19,34.0,25.0,29.3,9.7,22.3,Noroeste,Tocumen,Panamá
2024-05-20,31.0,26.0,27.5,15.7,29.2,Noroeste,Tocumen,Panamá
2024-05-21,30.0,25.0,27.3,7.5,27.4,Suroeste,Tocumen,Panamá
2024-05-22,31.0,25.0,27.0,7.1,29.5,Este,Tocumen,Panamá
2024-05-23,30.0,25.0,27.0,6.3,22.7,Noreste,Tocumen,Panamá
2024-05-24,30.0,25.0,27.3,22.4,23.4,Este,Tocumen,Panamá
2024-05-25,30.0,25.0,27.2,12.5,24.1,Norte,Tocumen,Panamá
2024-05-26,33.0,24.0,27.1,19.2,20.9,Noroeste,Tocumen,Panamá
2024-05-27,28.0,25.0,26.4,12.2,23.0,Noroeste,Tocumen,Panamá
2024-05-28,31.0,24.0,27.7,18.6,26.3,Suroeste,Tocumen,Panamá
2024-05-29,32.0,26.0,28.1,6.0,33.8,Sur,Tocumen,Panamá
2024-05-30,30.0,25.0,26.8,26.3,23.4,Este,Tocumen,Panamá
2024-05-31,32.0,24.0,27.9,5.2,22.7,Noroeste,Tocumen,Panamá
2024-06-01,33.0,24.0,28.5,6.6,25.2,Noroeste,Tocumen,Panamá
2024-06-02,33.0,26.0,29.3,14.7,31.0,Oeste,Tocumen,Panamá
2024-06-03,30.0,26.0,28.2,7.5,24.5,Noroeste,Tocumen,Panamá
2024-06-04,32.0,23.0,27.5,14.3,34.6,Suroeste,Tocumen,Panamá
2024-06-05,30.0,24.0,27.1,20.7,32.4,Sureste,Tocumen,Panamá
2024-06-06,28.0,25.0,26.7,15.3,29.5,Este,Tocumen,Panamá
2024-06-07,31.0,25.0,27.7,13.3,23.4,Este,Tocumen,Panamá
2024-06-08,31.0,26.0,28.0,23.6,24.1,Este,Tocumen,Panamá
2024-06-09,29.0,26.0,27.1,13.6,21.2,Este,Tocumen,Panamá
2024-06-10,30.0,24.0,26.8,14.9,29.2,Este,Tocumen,Panamá
2024-06-11,28.0,25.0,26.0,17.9,24.8,Noreste,Tocumen,Panamá
2024-06-12,31.0,25.0,27.5,11.6,21.2,Sur,Tocumen,Panamá
2024-06-13,31.0,25.0,26.8,13.2,25.2,Noreste,Tocumen,Panamá
2024-06-14,29.0,24.0,26.5,28.1,27.7,Este,Tocumen,Panamá
2024-06-15,28.0,25.0,26.4,17.4,53.3,Sur,Tocumen,Panamá
2024-06-16,28.0,25.0,26.3,7.7,32.8,Sur,Tocumen,Panamá
2024-06-17,31.0,25.0,27.4,0.0,27.0,Este,Tocumen,Panamá
2024-06-18,30.0,25.0,26.7,16.2,20.2,Noreste,Tocumen,Panamá
2024-06-19,29.0,25.0,26.9,9.6,22.0,Suroeste,Tocumen,Panamá
2024-06-20,29.8,25.0,27.0,12.3,26.6,Este,Tocumen,Panamá
2024-06-21,31.0,24.0,27.0,2.5,25.9,Norte,Tocumen,Panamá
2024-06-22,28.0,24.0,25.3,12.9,19.8,Noroeste,Tocumen,Panamá
2024-06-23,30.0,24.0,26.8,3.5,19.4,Este,Tocumen,Panamá
2024-06-24,31.0,25.0,27.5,4.3,20.9,Noreste,Tocumen,Panamá
2024-06-25,32.0,24.0,27.6,9.3,27.0,Oeste,Tocumen,Panamá
2024-06-26,29.0,24.0,26.1,17.9,34.2,Sureste,Tocumen,Panamá
2024-06-27,28.0,25.0,26.9,5.4,50.0,Sur,Tocumen,Panamá
2024-06-28,29.0,25.0,27.0,7.6,36.4,Sureste,Tocumen,Panamá
2024-06-29,30.0,25.0,26.9,3.4,20.2,Este,Tocumen,Panamá
2024-06-30,33.0,24.0,27.7,3.1,16.2,Norte,Tocumen,Panamá
2024-07-01,30.0,25.0,27.1,8.3,25.2,Noroeste,Tocumen,Panamá
2024-07-02,30.0,24.0,27.2,18.9,23.8,Este,Tocumen,Panamá
