date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-06-08 00:00:00,29.1,23,32.7,0,,,7.6,,1014.1,
2024-06-09 00:00:00,27.5,23,35,0.2,,,6.6,,1012.5,
2024-06-10 00:00:00,29.3,23,33.8,0,,,6.3,,1011.1,
2024-06-11 00:00:00,29.1,23.4,32.1,0,,,7.2,,1012.6,
2024-06-12 00:00:00,28.9,18.2,35.3,0,,,7.2,,1012.2,
2024-06-13 00:00:00,30.6,22.8,35,2,,,8.1,,1011.5,
2024-06-14 00:00:00,29.4,24.2,36,1.3,,,6.9,,1011.5,
2024-06-15 00:00:00,26.4,23,32,4.3,,,4.8,,1013.1,
2024-06-16 00:00:00,24.9,21.1,29.4,6.8,,,5.5,,1013.9,
2024-06-17 00:00:00,28.4,21.8,34.3,0,,,5.8,,1011.6,
2024-06-18 00:00:00,29.1,22.1,35,0,,,5.6,,1009.5,
2024-06-19 00:00:00,25.9,22,30.7,7.9,,,6.4,,1011.4,
2024-06-20 00:00:00,29,22,34,1.5,,,5.9,,1011.2,
2024-06-21 00:00:00,27.9,24,32,4.4,,,9.4,,1012.6,
2024-06-22 00:00:00,27.9,22.8,34,1.1,,,6.2,,1011.7,
2024-06-23 00:00:00,27.7,22.8,32,0,,,7.1,,1012.3,
2024-06-24 00:00:00,28.4,23,35.1,0,,,5.4,,1011.7,
2024-06-25 00:00:00,30.2,23,35,0,,,10,,1012.2,
2024-06-26 00:00:00,27.2,23.1,32.1,0,,,9.7,,1013.1,
2024-06-27 00:00:00,27.1,22.8,33.3,7.9,,,7.7,,1012.7,
2024-06-28 00:00:00,25.7,22,30.2,0.3,,,9.5,,1014.2,
2024-06-29 00:00:00,28.4,23.8,34,2.3,,,6.1,,1013.2,
2024-06-30 00:00:00,26.6,22,32,0.5,,,6.7,,1012.5,
2024-07-01 00:00:00,29.5,22.6,34,0,,,8.5,,1010.7,
2024-07-02 00:00:00,27.1,23,32.3,0,,,10.4,,1011.5,
2024-07-03 00:00:00,27.7,22.8,34,0,,,8.5,,1011.2,
2024-07-04 00:00:00,29.7,23.5,34,0,,,7.5,,1009.9,
2024-07-05 00:00:00,26.7,23.7,31,0.5,,,7.7,,1012.3,
2024-07-06 00:00:00,25.6,20.9,30,0.7,,,7.9,,1014.1,
2024-07-07 00:00:00,27.6,22.4,31,0,,,12.3,,1013.9,
2024-07-08 00:00:00,28.4,21,35,0,,,9.4,,1011.5,
2024-07-09 00:00:00,27.3,22,32,0,,,9.3,,1011.4,
2024-07-10 00:00:00,29.1,23,36,0,,,9.1,,1009.8,
2024-07-11 00:00:00,27.9,22,35,0,,,10.5,,1010.8,
2024-07-12 00:00:00,27.1,23,31,0.9,,,8.7,,1013.2,
2024-07-13 00:00:00,26.4,22,33,3,,,13.9,,1014.9,
2024-07-14 00:00:00,28.3,24.1,35,0,,,12.8,,1013.4,
2024-07-15 00:00:00,29.3,24.7,35,0,,,19.6,,1012.8,
2024-07-16 00:00:00,29,23,36,0,,,19.1,,1013.5,
2024-07-17 00:00:00,28.4,25.5,32,0,,,19.9,,1014.6,
2024-07-18 00:00:00,28.2,24.7,33,0,,,20,,1014.6,
2024-07-19 00:00:00,28.3,23.4,34,0,,,13.8,,1014.3,
2024-07-20 00:00:00,27.6,23,33,0,,,13.6,,1014,
2024-07-21 00:00:00,28.3,25,33,0,,,15.9,,1012.6,
2024-07-22 00:00:00,29.7,24.7,33,0,,,17.7,,1012.2,
2024-07-23 00:00:00,28.6,24.6,34.2,0,,,17.2,,1013.9,
2024-07-24 00:00:00,28.4,25,34,0,,,13.5,,1015.1,
2024-07-25 00:00:00,29,25,33,0,,,10.8,,1013.8,
2024-07-26 00:00:00,29.1,25,33,0,,,11.7,,1012.3,
2024-07-27 00:00:00,29.3,24,34,0,,,13.6,,1012.2,
2024-07-28 00:00:00,27.9,24,31,0,,,12.3,,1013.6,
2024-07-29 00:00:00,31.6,24.6,37,0,,,14.6,,1012.9,
2024-07-30 00:00:00,28.9,26.5,33,0,,,17.2,,1012.6,
2024-07-31 00:00:00,28.1,25,32,0,,,14.1,,1013.5,
2024-08-01 00:00:00,27.2,25,33,0,,,15.6,,1014.6,
2024-08-02 00:00:00,28.8,21,37,0,,,6.7,,1012.9,
2024-08-03 00:00:00,28.3,23,34,0,,,8.7,,1011.7,
2024-08-04 00:00:00,28.9,23,34,0,,,7.8,,1011.3,
2024-08-05 00:00:00,27.9,24,34,0.7,,,9,,1012.6,
2024-08-06 00:00:00,28.2,24,33,0,,,8.8,,1011.8,
2024-08-07 00:00:00,29.1,23,36,0,,,8.1,,1010.4,
2024-08-08 00:00:00,27.9,22,34,0,,,7.3,,1010.6,
2024-08-09 00:00:00,27.9,23.6,33,1.2,,,7.1,,1011.9,
2024-08-10 00:00:00,26,24,28,2,,,12.1,,1013.8,
2024-08-11 00:00:00,28.5,22,35,0,,,9.5,,1013.1,
2024-08-12 00:00:00,26.9,23,32,0,,,14.1,,1013.3,
2024-08-13 00:00:00,28.5,24,34,0,,,16.5,,1013.6,
2024-08-14 00:00:00,27.8,22.6,33.5,0,,,22.2,,1013.4,
2024-08-15 00:00:00,29,23.6,35,0,,,14.6,,1013.1,
2024-08-16 00:00:00,29.9,23.9,37,0,,,15,,1013,
2024-08-17 00:00:00,29.4,22,37,0,,,13.1,,1013,
2024-08-18 00:00:00,30,23.4,36,0,,,10.3,,1012,
2024-08-19 00:00:00,29.4,24,35,0,,,13.5,,1011.6,
2024-08-20 00:00:00,28.9,24.6,35,0,,,10.5,,1012.7,
2024-08-21 00:00:00,29.8,24.4,36,0,,,9.7,,1011.2,
2024-08-22 00:00:00,30.4,24.3,37,0,,,7.7,,1009.9,
2024-08-23 00:00:00,29.3,24,36,0,,,8.2,,1010.8,
2024-08-24 00:00:00,30.9,23.4,37.4,0,,,8.2,,1011.6,
2024-08-25 00:00:00,29.4,20.6,33,0.2,,,9.6,,1012.3,
2024-08-26 00:00:00,27.8,24,33,0.4,,,11.2,,1012.1,
2024-08-27 00:00:00,29.8,,,,,,7.8,,,
2024-08-28 00:00:00,,,,,,,,,,
2024-08-29 00:00:00,,,,,,,,,,
2024-08-30 00:00:00,,,,,,,,,,
2024-08-31 00:00:00,,,,,,,,,,
2024-09-01 00:00:00,,,,,,,,,,
2024-09-02 00:00:00,,,,,,,,,,
2024-09-03 00:00:00,,,,,,,,,,
2024-09-04 00:00:00,30.4,24,37,0,,,8.5,,1010.2,
2024-09-05 00:00:00,29.7,26.2,33,0,,,13.1,,1011.4,
2024-09-06 00:00:00,31.2,24.9,39,0.1,,,15.6,,1009.7,
2024-09-07 00:00:00,30.6,24,38,0,,,13.1,,1009.5,
2024-09-08 00:00:00,31.6,24.4,35.5,0,,,13,,1010.7,
2024-09-09 00:00:00,30.5,24.7,37.4,0,,,11.5,,1011.7,
2024-09-10 00:00:00,32.2,25,38,0,,,12.4,,1010.7,
2024-09-11 00:00:00,32.8,25.3,38.8,0,,,10.6,,1008.9,
2024-09-12 00:00:00,33.7,24.6,39,0,,,10.1,,1009.3,
2024-09-13 00:00:00,31.5,25,38,0,,,8.2,,1010.5,
2024-09-14 00:00:00,31.7,25,39,0,,,9.9,,1010,
2024-09-15 00:00:00,32.1,25,40,0,,,10,,1009.8,
2024-09-16 00:00:00,30.4,11,39,0.1,,,11,,1011.3,
2024-09-17 00:00:00,32.2,26.6,39,0,,,14.2,,1010.6,
2024-09-18 00:00:00,31.7,26,39,0,,,13.1,,1009.4,
2024-09-19 00:00:00,32.1,25.9,39,0,,,10.6,,1008.6,
2024-09-20 00:00:00,30.3,25.4,35,0,,,9.4,,1008.5,
2024-09-21 00:00:00,30.7,26,37,0.7,,,10.4,,1009,
2024-09-22 00:00:00,30.8,24,37,0,,,8.8,,1009.3,
2024-09-23 00:00:00,28.6,23,35,0,,,9.6,,1011.8,
2024-09-24 00:00:00,30.4,23,37,0,,,9,,1010.3,
2024-09-25 00:00:00,31,23,38,0,,,9.1,,1010.1,
2024-09-26 00:00:00,32.1,25.1,35,1.7,,,11.1,,1011.3,
2024-09-27 00:00:00,29.1,23.3,36,3.4,,,9.8,,1011,
2024-09-28 00:00:00,28.3,24.6,34,0.7,,,8.6,,1010.7,
2024-09-29 00:00:00,27.4,24,32,7.1,,,11.1,,1012.5,
2024-09-30 00:00:00,26.4,22.2,32,1.3,,,6,,1012.9,
2024-10-01 00:00:00,29.5,22.3,37,0,,,6.9,,1010.8,
2024-10-02 00:00:00,26.5,9,32,7,,,6.6,,1012.2,
